id,city,county,Address,Latitude and longitude,name,abbreviation,Group_name,capacity,soybean_meal_demand,soybean_meal_origin,delivery_channel,freight_per_ton
ytw-123,钦州市,钦南区金窝工业园,钦州市黄屋屯二级公路旁,"108.530742, 21.985943",广西澳华农牧科技有限公司,澳华,深圳市澳华集团股份有限公司持股88%，潘唐贺持股10%，彭顺刚持股2%，成立于2007年8月，年产能20余万吨,1.1,,,,
ytw-124,钦州市,钦南区金窝工业园,中国（广西）自由贸易试验区钦州港片区钦州综合保税区十大街与三号路交汇处东面地块,"108.676174, 21.775153",广西钦州保税港区双胞胎生物科技有限公司,保税区双胞胎,江西双胞胎投资有限公司100%持股，注册资本300万元，成立于2021年9月，建设年产50万吨现代化饲料基地,0.72,,,,
ytw-125,柳州市,柳城县,柳州市柳城县东泉镇走马村上走马屯牧原一场（柳州种畜场内）,"109.454483, 24.492317",柳城牧原农牧有限公司,牧原,南宁市西乡塘牧原农牧有限公司100%持股（牧原食品间接控股），注册资本36000万元，成立于2019年11月,,,,,
ytw-126,柳州市,柳城县,广西壮族自治区柳州市柳城县河西工业区惠民路2号,"109.390399, 24.446014",广西柳州桂柳牧业有限公司,桂柳,广西桂柳牧业集团有限公司100%持股，注册资本2000万元，成立于2017年12月,0.8,,,,
ytw-127,柳州市,柳北区,柳州市庆丰路6号,"109.4120815, 24.3488959",柳州市柳新饲料有限责任公司,柳新,自然人股东持股的有限责任公司，注册资本333.1万元，成立于1997年7月，法定代表人吴伯敏,,,,,
ytw-128,柳州市,柳北区,柳州市柳长路沙塘工业园M2-3号,"109.391250, 24.434228",柳州双胞胎饲料有限公司,双胞胎,双胞胎（集团）股份有限公司持股75%，弘涛投资（新加坡）有限公司持股25%，注册资本400万元，成立于2010年5月,2.5,,,,
ytw-129,柳州市,柳南区,柳州市柳太路11-1号,"109.372873, 24.343501",柳州市宏华大北农饲料有限公司,宏华大北农,广西宏华生物实业股份有限公司持股40%，北京大北农科技集团股份有限公司持股30%，广西壮族自治区柳州粮食储备库有限公司持股30%,,,,,
ytw-130,柳州市,柳南区,柳州市柳太路11-1号,"109.372873, 24.343501",柳州市农乐饲料有限公司,农乐,有限责任公司（自然人投资或控股），注册资本300万元，成立于2007年11月,,,,,
ytw-131,柳州市,柳江区,柳州市柳江区穿山镇柳石路348号,"109.437124, 24.184057",广西农垦新兴农场有限公司,农垦新兴,广西国控资本运营集团有限责任公司100%持股（广西农垦集团全资子公司）,0.5,,,,
ytw-132,柳州市,鹿寨县,柳州市鹿寨县鹿寨镇飞鹿大道299号,"109.764130, 24.487197",柳州市漓源饲料有限公司,漓源,桂林力源粮油食品集团有限公司持股95.2381%,,,,,
ytw-133,北海市,海城区,北海市海城区工业园区香港路72号,"109.178480, 21.527536",卜蜂（北海）水产饲料有限公司,卜峰,正大投资股份有限公司全资子公司（外资）,,,,,
ytw-134,北海市,银海区,合浦县中站（实际厂区位于合浦县，银海区未单独设厂）,"109.223608, 21.626132",北海恒兴特种饲料有限公司,恒兴,广东恒兴饲料实业股份有限公司100%持股，注册资本2180万元,0.6,,,,
ytw-135,北海市,铁山港区,铁山港区工业区三号路以北、营闸路以西北海综合保税区B区A-09地块,"109.565033, 21.554253",北海源发生物科技有限公司,北海源发（漓源）,桂林力源粮油食品集团有限公司持股80%，厦门建发物产有限公司持股20%,,,,,
ytw-136,北海市,铁山港区,铁山港区兴港镇兴业大道1号北海综合保税区B区,"109.565033, 21.554253",北海力源粮油贸易有限公司,北海力源,北海源发生物科技有限公司全资子公司，桂林力源集团间接控股,,,,,
ytw-137,北海市,合浦县,合浦工业园区合北公路平头岭（209国道旁）,"109.382426, 21.659189",北海市德峰饲料厂有限公司,德峰,注册资本500万元，成立于1999年9月，隶属广东顺德星星饲料有限公司,0.35,,,,
ytw-138,北海市,合浦县,合浦县工业园区经一路与工业大道相交处西北角,"109.670268, 21.707468",广西北海市旺海生物科技有限公司,旺海,广东旺海生物科技集团股份有限公司100%持股，注册资本3000万元,,,,,
ytw-139,北海市,合浦县,合浦县星岛湖乡325国道旁,"109.676000, 21.726599",广西粤海饲料有限公司,粤海,广东粤海饲料集团股份有限公司100%持股，注册资本5000万元,,,,,
ytw-140,北海市,合浦县,合浦县廉州镇清江村清江小学对面（原民政塑料厂内）,"109.281232, 21.710974",合浦漓源饲料有限公司,合浦漓源,桂林力源粮油食品集团有限公司100%持股，注册资本500万元,,,,,
ytw-141,北海市,合浦县,合浦县中站片区3区-3号,"109.223608, 21.626132",北海创禾饲料有限公司,创禾,福建傲农生物科技集团股份有限公司持股49%，刘秀香持股51%,,,,,
ytw-142,北海市,合浦县,合浦县廉州镇中站,"109.223608, 21.626132",合浦凤翔饲料有限责任公司,广西凤翔,广西凤翔集团股份有限公司100%持股，注册资本600万元,,,,,
ytw-143,贺州市,钟山县,钟山县钟山镇迎宾大道东侧,"111.319900, 24.542600",钟山温氏畜禽有限公司,钟山温氏,温氏食品集团股份有限公司100%持股，注册资本1400万元,1.2,,,,
ytw-144,贺州市,富川县,富川古城镇桂洪村,"111.335724, 24.811882",富川广东温氏畜牧有限公司,富川温氏,温氏食品集团股份有限公司持股90%，桂林广东温氏家禽有限公司持股10%，注册资本11800万元,,,,,
ytw-145,贺州市,平桂区,贺州市平桂区望高镇旺高工业区内,"111.416779, 24.582498",贺州漓源饲料有限公司,贺州漓源,南宁漓源粮油饲料有限公司100%持股（力源集团间接控股），注册资本2000万元,,,,,
ytw-146,贺州市,平桂区,贺州市广贺高速连线东侧、八桂二级公路贺街方向右侧,"111.573526, 24.409451",贺州广东温氏畜禽有限公司,贺州温氏,温氏食品集团股份有限公司持股90%，桂林广东温氏家禽有限公司持股10%，注册资本3700万元,,,,,
ytw-147,梧州市,藤县,梧州市工业园区（赤水）港口工业园区内（变电站旁边地块）,"111.328057, 23.532307",梧州新希望六和饲料有限公司,梧州新希望,新希望六和股份有限公司持股70.16%，广西新希望生猪保供专项产业基金合伙企业持股29.84%，注册资本7126万元,,,,,
ytw-148,梧州市,苍梧县,苍梧县旺甫镇旺甫工业小镇旺发路1号,"111.356264, 23.566012",苍梧温氏家禽有限公司,梧州温氏,温氏集团旗下梧州温氏产业园子项目，温氏食品集团间接控股，注册资本1610万元,,,,,
ytw-149,梧州市,万秀区,梧州市塘源路10号,"111.345848, 23.470025",梧州市漓源饲料有限公司,梧州漓源,桂林力源粮油食品集团有限公司100%持股，注册资本120万元,,,,,
ytw-150,梧州市,万秀区,梧州市万秀区健盛路15号,"111.327520, 23.478846",梧州柳新农牧科技有限公司,梧州柳新,南宁漓源粮油饲料有限公司100%持股（力源集团间接控股），注册资本8000万元,,,,,
ytw-151,梧州市,龙圩区,梧州市龙圩区龙圩镇双桂路18号第1幢,"111.246677, 23.413545",梧州海大生物科技有限公司,梧州海大,广东海大集团股份有限公司100%持股,0.7,,,,
ytw-152,百色市,右江区,百色市右江区龙景街道百法村,"106.582617, 23.879985",百色市右江区牧原农牧有限公司,牧原,南宁市西乡塘牧原农牧有限公司100%持股（牧原食品间接控股）,,,,,
ytw-153,百色市,田阳区,百色市田阳区那坡镇红岭坡工业园内,"106.852365, 23.745007",田阳漓源粮油饲料有限公司,田阳漓源,南宁漓源粮油饲料有限公司100%持股（力源集团间接控股）,,,,,
ytw-154,百色市,平果市,平果市新安镇道峨村二级公路旁,"107.581140, 23.269928",广西富鹏农牧有限公司,富鹏,广西富凤农牧集团有限公司持股55%，李羽娜、李非、范丽容各持股15%,,,,,
ytw-155,百色市,田东县,田东县思林镇可恒村可恒屯,"107.399581, 23.475173",田东钱记鲜蛋养殖有限公司,百色钱记,蛋鸡养殖及鲜蛋销售企业，非独立饲料生产企业；饲料为自用配套,,,,,
ytw-156,来宾市,兴宾区,来宾市红星路与凤翔路东南角（市河南工业园）,"109.194719, 23.705074",来宾东方希望动物营养有限公司,来宾东方希望,东方希望包头生物工程有限公司持股99.99%，上海东行金吕贸易有限公司持股0.01%,,,,,
ytw-157,来宾市,兴宾区,来宾市兴宾区正龙乡东阳村委老六田村牧原一场厂房,"109.384436, 23.823291",来宾市兴宾区牧原农牧有限公司,牧原,南宁市西乡塘牧原农牧有限公司100%持股（牧原食品间接控股）,,,,,
ytw-158,来宾市,武宣县,武宣县黄茆镇玉村（原武宣县黄茆氮肥厂）,"109.656696, 23.762193",武宣漓源金陵饲料有限公司,武宣漓源,南宁漓源粮油饲料有限公司持股60%，广西金陵农牧集团有限公司持股40%,,,,,
ytw-159,来宾市,武宣县,武宣县二塘镇樟村村民委209国道旁,"109.672666, 23.698596",武宣正大畜牧有限公司,武宣正大,正大投资股份有限公司持股85%，南宁市良庆区大沙田交通服务有限公司持股15%,,,,,
ytw-160,来宾市,武宣县,武宣县武宣镇马步村民委外龙村500号,"109.648729, 23.559499",来宾广安昌农饲料科技有限公司,广安昌农,南宁大北农饲料科技有限责任公司100%持股,,,,,
ytw-161,崇左市,大兴县,崇左市大新县雷平镇安村G358国道西侧雷平变电站旁,"107.105569, 22.649815",广西大新神农饲料有限公司,神农,云南神农农业产业集团股份有限公司100%持股,2,,,,
ytw-162,崇左市,龙州县,崇左市龙州县上龙乡大水塘分场,"106.861275, 22.419077",广西农垦永新畜牧集团龙北饲料有限公司,农垦龙北,广西农垦永新畜牧集团有限公司100%持股,,,,,
ytw-163,崇左市,凭祥县,凭祥市夏石镇友谊关工业园区（凭祥航洋潮中越直通国际物流基地东南面）,"106.903334, 22.125686",凭祥新希望六和饲料有限公司,广西凭祥新希望,四川新希望六和农牧有限公司100%持股,,,,,
ytw-164,崇左市,江州区,崇左市龙州县响水镇天西华侨农场图强分场,"107.092277, 22.497477",龙州新好农牧有限公司,龙州新好,海南新希望六和农牧科技有限公司100%持股,,,,,
ytw-165,崇左市,江州区,崇左市江州区中泰崇左产业园经南四一路与纬九路交叉口西南角,"107.444500, 22.405534",崇左市响亮饲料有限责任公司,崇左响亮,南宁漓源粮油饲料有限公司100%持股（原名为崇左市漓源饲料有限责任公司）,,,,,
ytw-166,崇左市,江州区,崇左市江州区（新和镇）蔗糖循环经济产业园4号路,"107.246081, 22.551518",崇左双胞胎饲料有限公司,崇左双胞胎,江西双胞胎投资有限公司100%持股,,,,,
ytw-167,崇左市,扶绥县,崇左市扶绥县新宁镇临江路182号,"107.901005, 22.634739",广西扶南饲料有限公司,扶南饲料,"广西扶南东亚糖业有限公司持股30%，Mitr Phol Sugar Corp.,Ltd（两仪糖业）持股70%",,,,,
ytw-168,崇左市,扶绥县,崇左市扶绥县新宁镇长寿路68号,"107.929657, 22.604494",正大饲料（广西）有限公司,正大,正大投资股份有限公司100%持股,,,,,
